,Location,Time,PopTotal,PopDensity,Code_3_digits
82,Guam,2020,168.783,312.561,GUM
83,Guatemala,2020,17915.567,167.185,GTM
84,Guinea,2020,13132.792,53.446000000000005,GIN
85,Guinea-Bissau,2020,1967.9979999999998,69.986,GNB
86,Guyana,2020,786.559,3.9960000000000004,GUY
87,Haiti,2020,11402.533000000001,413.735,HTI
88,Holy See,2020,0.809,1838.636,VAT
89,Honduras,2020,9904.608,88.521,HND
90,Hungary,2020,9660.35,106.709,HUN
91,Iceland,2020,341.25,3.404,ISL
92,India,2020,1380004.385,464.149,IND
93,Indonesia,2020,273523.62100000004,150.987,IDN
94,Iran (Islamic Republic of),2020,83992.95300000001,51.575,IRN
95,Iraq,2020,40222.503,92.61,IRQ
96,Ireland,2020,4937.795999999999,71.67699999999999,IRL
97,Isle of Man,2020,85.03200000000001,149.179,IMN
98,Israel,2020,8655.541,399.97900000000004,ISR
99,Italy,2020,60461.828,205.555,ITA
100,Jamaica,2020,2961.1609999999996,273.422,JAM
101,Japan,2020,126476.45800000001,346.934,JPN
102,Jordan,2020,10203.14,114.926,JOR
103,Kazakhstan,2020,18776.707,6.955,KAZ
104,Kenya,2020,53771.3,94.478,KEN
105,Kiribati,2020,119.446,147.464,KIR
106,Kuwait,2020,4270.563,239.65,KWT
107,Kyrgyzstan,2020,6524.191,34.016,KGZ
108,Lao People's Democratic Republic,2020,7275.556,31.523000000000003,LAO
109,Latvia,2020,1886.2020000000002,30.325,LVA
110,Lebanon,2020,6825.441999999999,667.199,LBN
111,Lesotho,2020,2142.252,70.562,LSO
112,Liberia,2020,5057.677,52.50899999999999,LBR
113,Libya,2020,6871.286999999999,3.905,LBY
114,Liechtenstein,2020,38.137,238.356,LIE
115,Lithuania,2020,2722.2909999999997,43.43600000000001,LTU
116,Luxembourg,2020,625.976,241.69,LUX
117,Madagascar,2020,27691.019,47.596000000000004,MDG
118,Malawi,2020,19129.955,202.90599999999998,MWI
119,Malaysia,2020,32365.998,98.512,MYS
120,Maldives,2020,540.5419999999999,1801.807,MDV
121,Mali,2020,20250.834,16.596,MLI
122,Malta,2020,441.539,1379.809,MLT
123,Marshall Islands,2020,59.193999999999996,328.856,MHL
124,Martinique,2020,375.265,354.024,MTQ
125,Mauritania,2020,4649.66,4.511,MRT
126,Mauritius,2020,1271.767,626.486,MUS
127,Mayotte,2020,272.813,727.5010000000001,MYT
128,Mexico,2020,128932.75300000001,66.325,MEX
129,Monaco,2020,39.244,26338.255,MCO
130,Mongolia,2020,3278.292,2.11,MNG
131,Montenegro,2020,628.062,46.696000000000005,MNE
132,Montserrat,2020,4.999,49.99,MSR
133,Morocco,2020,36910.558,82.70299999999999,MAR
134,Mozambique,2020,31255.435,39.746,MOZ
135,Myanmar,2020,54409.794,83.286,MMR
136,Namibia,2020,2540.916,3.0860000000000003,NAM
137,Nauru,2020,10.834000000000001,541.7,NRU
138,Nepal,2020,29136.807999999997,203.25599999999997,NPL
139,Netherlands,2020,17134.873,508.152,NLD
140,New Caledonia,2020,285.491,15.618,NCL
141,New Zealand,2020,4822.233,18.314,NZL
142,Nicaragua,2020,6624.554,55.049,NIC
143,Niger,2020,24206.636000000002,19.11,NER
144,Nigeria,2020,206139.587,226.33599999999998,NGA
145,Niue,2020,1.618,6.223,NIU
146,North Macedonia,2020,2083.38,82.60799999999999,MKD
147,Northern Mariana Islands,2020,57.556999999999995,125.124,MNP
148,Norway,2020,5421.241999999999,14.842,NOR
149,Oman,2020,5106.622,16.5,OMN
150,Pakistan,2020,220892.331,286.546,PAK
151,Palau,2020,18.092,39.33,PLW
152,Panama,2020,4314.768,58.041000000000004,PAN
